09203549.jpg - 09.09.2011 20:35 X(m): -1937.13, Y(m): 1710.88, Alt(m): 1.68, Depth(m): 33.59, V(m/s): 0.10, Heading(deg): 118.0, Pitch(deg): 0.0, Flash time: 8
09203551.jpg - 09.09.2011 20:35 X(m): -1937.00, Y(m): 1710.73, Alt(m): 1.68, Depth(m): 33.57, V(m/s): 0.10, Heading(deg): 122.1, Pitch(deg): 0.3, Flash time: 8
09203553.jpg - 09.09.2011 20:35 X(m): -1936.88, Y(m): 1710.56, Alt(m): 1.69, Depth(m): 33.58, V(m/s): 0.10, Heading(deg): 125.9, Pitch(deg): 0.6, Flash time: 8
09203555.jpg - 09.09.2011 20:35 X(m): -1936.78, Y(m): 1710.38, Alt(m): 1.69, Depth(m): 33.60, V(m/s): 0.10, Heading(deg): 129.6, Pitch(deg): 0.8, Flash time: 8
09203557.jpg - 09.09.2011 20:35 X(m): -1936.68, Y(m): 1710.20, Alt(m): 1.69, Depth(m): 33.60, V(m/s): 0.10, Heading(deg): 132.8, Pitch(deg): 1.1, Flash time: 8
09203559.jpg - 09.09.2011 20:35 X(m): -1936.60, Y(m): 1710.00, Alt(m): 1.69, Depth(m): 33.61, V(m/s): 0.11, Heading(deg): 135.1, Pitch(deg): 0.8, Flash time: 8
09203601.jpg - 09.09.2011 20:36 X(m): -1936.52, Y(m): 1709.79, Alt(m): 1.67, Depth(m): 33.64, V(m/s): 0.12, Heading(deg): 137.5, Pitch(deg): 0.8, Flash time: 8
09203603.jpg - 09.09.2011 20:36 X(m): -1936.45, Y(m): 1709.56, Alt(m): 1.67, Depth(m): 33.64, V(m/s): 0.12, Heading(deg): 139.2, Pitch(deg): 0.8, Flash time: 8
09203605.jpg - 09.09.2011 20:36 X(m): -1936.38, Y(m): 1709.33, Alt(m): 1.64, Depth(m): 33.65, V(m/s): 0.12, Heading(deg): 140.4, Pitch(deg): 0.8, Flash time: 0
09203607.jpg - 09.09.2011 20:36 X(m): -1936.31, Y(m): 1709.09, Alt(m): 1.63, Depth(m): 33.66, V(m/s): 0.12, Heading(deg): 141.4, Pitch(deg): 0.6, Flash time: 0
09203609.jpg - 09.09.2011 20:36 X(m): -1936.25, Y(m): 1708.85, Alt(m): 1.61, Depth(m): 33.63, V(m/s): 0.13, Heading(deg): 142.2, Pitch(deg): 0.3, Flash time: 0
09203611.jpg - 09.09.2011 20:36 X(m): -1936.19, Y(m): 1708.59, Alt(m): 1.60, Depth(m): 33.63, V(m/s): 0.13, Heading(deg): 142.8, Pitch(deg): 0.3, Flash time: 0
